City,Street,Accident_Count
Adamsville,AL-4 E,11
Adamsville,Veterans Memorial Dr,5
Adamsville, Adamsville Pkwy,2
Adamsville,AL-4 W,2
Adamsville, Veterans Memorial Dr,1
Adamsville,Hillcrest Rd,1
Adamsville,Minor Pkwy,1
Adamsville,North Ave,1
Adamsville,US-78 E,1
Addis, Main St,7
Addis, LA Highway 1 S,4
Addis, River Boat Ln,3
Addis,Sid Richardson Rd,2
Addis, Foret St,1
Addis, S River Rd,1
Addis,LA Highway 1 S,1
Addis,Union Dr,1
Addison,I-355 S,127
Addison,W North Ave,114
Addison,IL-83 N,105
Addison,Robert Kingery Hwy,73
Addison,E Lake St,72
Addison,I-290 E,58
Addison,W Army Trail Rd,56
Addison,Rohlwing Rd,51
Addison,W Army Trail Blvd,46
Addison,W Lake St,39
Addy, Highway 395 S,4
Addyston, River Rd,4
Addyston,River Rd,2
Addyston, 3 Rivers Pkwy,1
Addyston, E Main St,1
Addyston,Three Rivers Pkwy,1
Adel,OR-140,85
Adel,I-80 W,69
Adel, Highway 140,52
Adel,I-80 E,44
Adel,Warner Hwy,19
Adel, OR-140,15
Adel,Highway 140,14
Adel,GA-401 N,12
Adel,GA-401 S,12
Adel,I-80,12
Adelanto, US Highway 395,86
Adelanto, El Mirage Rd,40
Adelanto,US Highway 395,13
Adelanto, Sheep Creek Rd,11
Adelanto,El Mirage Rd,11
Adelanto,US-395,11
Adelanto, Mojave Dr,10
Adelanto, US-395,9
Adelanto,Barstow-Bakersfield Hwy,9
Adelanto,Shadow Mountain Rd,8
Adell,N2318 State Road 57,1
Adelphi, Riggs Rd,42
Adelphi, Muskogee St,13
Adelphi, Beaver Lodge Ct,6
Adelphi,Edgemont Dr,5
Adelphi, Powder Mill Rd,4
Adelphi, Adelphi Rd,3
Adelphi, Metzerott Rd,3
Adelphi,Riggs Rd,3
Adelphi, Collier Rd,2
Adelphi, Bond Rd,1
Adena,Harrisville Cemetery Rd,1
Adger,Camp Oliver Rd,1
Adin, S Main St,5
Adin, State Highway 299 E,3
Adin,County Road 91,3
Adin, Oak St,2
Adin,560-948 State Highway 139,2
Adin,Oak St,1
Adin,State Highway 299 E,1
Adkins, E Loop 1604 S,4
Adkins, US Highway 87 S,3
Adkins,E Loop 1604 S,2
Adkins,US Highway 87 S,2
Adolphus,New Gallatin Rd,1
Adrian,I-90 E,173
Adrian,I-90 W,61
Adrian,State Highway 91,27
Adrian, Highway 201,25
Adrian, W US Highway 223,21
Adrian, State Highway 91,14
Adrian, E US Highway 223,6
Adrian, N Adrian Hwy,4
Adrian,I-40,4
Adrian,Historic Route 66 E,3
Advance,I-40 E,49
Advance,I-40 W,38
Advance,NC Highway 801 N,32
Advance,I-40,29
Advance, US Highway 64 E,21
Advance, US-64,20
Advance, Peter Hairston Rd,5
Advance, NC Highway 801 N,4
Advance, NC Highway 801 S,4
Advance, Underpass Rd,4
Afton,US-12 E,78
Afton,I-94 E,75
Afton, Rockfish Gap Tpke,53
Afton,I-94 W,43
Afton,I-64 E,38
Afton, Rockfish Valley Hwy,31
Afton,I-64,31
Afton,Manning Ave N,21
Afton, Critzers Shop Rd,19
Afton, Manning Ave S,19
Agate,I-70 E,32
Agate,I-70 W,15
Agate,US-40 W,7
Agate,I-70,4
Agate,US-287 S,2
Agate,County Road 134,1
Agate,County Road 190,1
Agate,Highway 86,1
Agawam,Agawam Rotary,5
Agawam,Suffield St,4
